L	1.07393	0.1	-0.375766	0.00103664	-0.0350185	0.0207296
R	3.0286	0.15	-0.26362	0.00207312	-0.119278	0.0276344
L	1.08893	0.2	-0.209493	0.00345484	-0.0581729	0.0345348
R	5.87961	0.25	-0.134901	0.00518158	-0.468524	0.0414297
L	0.869562	0.3	-0.117155	0.00725307	-0.324258	0.0483182
R	6.72776	0.35	-0.0165479	0.00966898	-0.0481346	0.0551989
L	0.152435	0.4	0.00413791	0.0124289	0.0396504	0.062071
R	0.353159	0.45	0.0198292	0.0155325	0.0683341	0.0689333
L	1.11345	0.5	0.0343476	0.0189791	0.107026	0.0757847
R	1.74285	0.55	-0.0791005	0.0227684	-0.248265	0.0826241
L	2.63444	0.6	-0.173394	0.0268996	-0.468533	0.0894504
R	2.96784	0.65	-0.0701745	0.0313721	-0.152988	0.0962627
L	0.150186	0.7	-0.0581993	0.0361852	-0.108735	0.10306
R	1.74229	0.75	-0.0210683	0.0413382	-0.0247811	0.10984
L	11.4869	0.8	0.0737436	0.0468302	0.163455	0.116604
R	2.78811	0.85	0.0654479	0.0526604	0.131436	0.123349
L	2.58403	0.9	0.054666	0.0588279	0.100945	0.130074
R	1.44906	0.95	0.0569889	0.0653316	0.096962	0.136779
L	1.49417	1	0.0591788	0.0721706	0.0925798	0.143463
R	5.11641	1.05	0.0112145	0.0793437	0.0114851	0.150124
L	2.83784	1.1	0.0731006	0.0868499	0.100979	0.156761
R	0.878964	1.15	0.0855123	0.0946879	0.110939	0.163373
L	0.521057	1.2	0.0767556	0.102857	0.0914936	0.169959
R	4.43747	1.25	0.0627205	0.111355	0.0659577	0.176519
L	2.9119	1.3	0.099361	0.120181	0.109397	0.183051
R	3.48795	1.35	0.0983609	0.129333	0.101052	0.189554
L	0.992908	1.4	0.0787649	0.138811	0.0703332	0.196027
R	2.94777	1.45	0.0816213	0.148612	0.0690011	0.202468
L	0.697997	1.5	0.0819144	0.158735	0.0652891	0.208879
R	5.86545	1.55	0.116974	0.169179	0.104247	0.215255
L	0.822594	1.6	0.133719	0.179942	0.118294	0.221599
R	6.36418	1.65	0.140653	0.191022	0.119122	0.227907
L	0.884552	1.7	0.143966	0.202417	0.116207	0.234179
R	4.16352	1.75	0.164405	0.214126	0.133268	0.240414
L	2.74132	1.8	0.205346	0.226147	0.173883	0.246611
R	4.65472	1.85	0.231308	0.238478	0.196285	0.252769
L	1.33559	1.9	0.250783	0.251116	0.208287	0.258887
R	4.59712	1.95	0.27439	0.26406	0.227732	0.264964
L	1.65702	2	0.269885	0.277309	0.209395	0.271
R	1.63234	2.05	0.271213	0.290859	0.197766	0.276993
L	1.66265	2.1	0.266879	0.304708	0.180228	0.282942
R	1.23985	2.15	0.274708	0.318855	0.180612	0.288846
L	0.570136	2.2	0.281937	0.333298	0.178824	0.294705
R	1.10093	2.25	0.296276	0.348033	0.183693	0.300517
L	0.884162	2.3	0.284895	0.363059	0.159529	0.306282
R	0.920958	2.35	0.285203	0.378373	0.148728	0.311998
L	3.57799	2.4	0.323304	0.393973	0.18556	0.317665
R	3.49677	2.45	0.336487	0.409856	0.186436	0.323282
L	2.72587	2.5	0.373786	0.42602	0.219902	0.328848
R	11.2017	2.55	0.418146	0.442462	0.265202	0.334362
L	0.675035	2.6	0.433259	0.459181	0.266954	0.339823
R	0.311178	2.65	0.451796	0.476172	0.274801	0.34523
L	0.566959	2.7	0.482062	0.493433	0.293738	0.350583
R	1.45422	2.75	0.482876	0.510962	0.27202	0.355881
L	2.33781	2.8	0.481632	0.528756	0.255842	0.361122
R	3.9395	2.85	0.501908	0.546812	0.260258	0.366307
L	1.29868	2.9	0.545014	0.565128	0.294778	0.371433
R	2.50888	2.95	0.574931	0.583699	0.315196	0.376501
L	0.821321	3	0.609278	0.602525	0.336005	0.381509
R	0.906211	3.05	0.618989	0.6216	0.327905	0.386458
L	0.203441	3.1	0.63087	0.640923	0.322456	0.391345
R	1.76777	3.15	0.658891	0.66049	0.343044	0.39617
L	0.49626	3.2	0.690349	0.680299	0.358807	0.400933
R	0.646147	3.25	0.702616	0.700345	0.350739	0.405632
L	0.466256	3.3	0.725487	0.720627	0.357282	0.410268
R	4.9509	3.35	0.774975	0.74114	0.409674	0.414838
L	0.623294	3.4	0.81379	0.761882	0.429856	0.419343
R	1.87332	3.45	0.836602	0.782849	0.436656	0.423782
L	0.267405	3.5	0.857697	0.804038	0.436395	0.428154
R	3.57014	3.55	0.882995	0.825446	0.44792	0.432459
L	2.11978	3.6	0.873154	0.847069	0.413046	0.436695
R	1.52675	3.65	0.911635	0.868904	0.443706	0.440862
L	0.650677	3.7	0.921583	0.890947	0.429807	0.444959
R	0.605181	3.75	0.948713	0.913195	0.437656	0.448987
L	0.405285	3.8	0.983301	0.935644	0.451597	0.452943
R	0.296754	3.85	1.014	0.958291	0.464809	0.456828
L	2.97634	3.9	1.01164	0.981133	0.4388	0.46064
R	0.439247	3.95	1.02327	1.00417	0.42159	0.46438
L	4.61686	4	1.00225	1.02738	0.376315	0.468047
R	4.67203	4.05	1.04914	1.05079	0.421874	0.47164
L	0.660365	4.1	1.0864	1.07437	0.439172	0.475158
R	0.35188	4.15	1.10458	1.09813	0.434124	0.478601
L	1.78626	4.2	1.13268	1.12206	0.442207	0.481969
R	2.45635	4.25	1.15134	1.14615	0.433618	0.48526
L	5.53794	4.3	1.15814	1.17042	0.420411	0.488475
R	0.821635	4.35	1.18523	1.19484	0.432502	0.491613
L	4.7926	4.4	1.16874	1.21942	0.392093	0.494673
R	1.07567	4.45	1.20579	1.24416	0.420705	0.497655
L	2.67258	4.5	1.20568	1.26904	0.397539	0.500558
R	3.03708	4.55	1.2546	1.29407	0.445037	0.503383
L	0.440271	4.6	1.26891	1.31923	0.436299	0.506127
R	6.71291	4.65	1.29458	1.34454	0.43536	0.508793
L	0.357272	4.7	1.32392	1.36998	0.442702	0.511377
R	3.14482	4.75	1.37273	1.39555	0.484576	0.513881
L	1.4703	4.8	1.39312	1.42124	0.479306	0.516304
R	4.73603	4.85	1.42123	1.44706	0.480358	0.518645
L	0.0422463	4.9	1.4436	1.47299	0.478934	0.520904
R	11.1472	4.95	1.52035	1.49904	0.562437	0.523081
L	4.50604	5	1.52358	1.52519	0.536002	0.525176
R	3.61495	5.05	1.53041	1.55145	0.496956	0.527187
L	0.897837	5.1	1.56354	1.57781	0.503865	0.529115
R	3.48226	5.15	1.62216	1.60426	0.559939	0.53096
L	1.72281	5.2	1.63449	1.63081	0.543812	0.532721
R	2.16296	5.25	1.66272	1.65745	0.549388	0.534397
L	1.27495	5.3	1.69348	1.68417	0.554291	0.53599
R	1.32289	5.35	1.72104	1.71097	0.550173	0.537498
L	1.12009	5.4	1.74069	1.73784	0.541311	0.53892
R	0.950089	5.45	1.77816	1.76479	0.560028	0.540258
L	0.245453	5.5	1.80581	1.7918	0.558864	0.54151
R	1.43406	5.55	1.83799	1.81888	0.562418	0.542677
L	1.23675	5.6	1.87929	1.84601	0.574637	0.543759
R	3.42637	5.65	1.89782	1.8732	0.554216	0.544754
L	2.12686	5.7	1.90902	1.90044	0.538506	0.545663
R	8.03865	5.75	1.98315	1.92772	0.628052	0.546486
L	3.83177	5.8	1.99342	1.95504	0.609009	0.547223
R	1.43325	5.85	2.02114	1.98241	0.60382	0.547873
L	0.0284031	5.9	2.04987	2.0098	0.602638	0.548437
R	1.85963	5.95	2.06687	2.03722	0.574964	0.548915
L	1.05404	6	2.09734	2.06467	0.578484	0.549305
R	0.323828	6.05	2.12736	2.09213	0.581304	0.549609
L	0.0330165	6.1	2.15527	2.11961	0.579948	0.549826
R	6.42126	6.15	2.21219	2.1471	0.636782	0.549957
L	1.48723	6.2	2.24464	2.1746	0.635034	0.55
R	6.16281	6.25	2.23246	2.2021	0.553334	0.549957
L	3.7894	6.3	2.27855	2.2296	0.570262	0.549826
R	2.51204	6.35	2.28312	2.25709	0.52384	0.549609
L	0.912831	6.4	2.30033	2.28457	0.515355	0.549305
R	1.92678	6.45	2.34226	2.31204	0.543849	0.548915
L	1.27314	6.5	2.36478	2.33948	0.541136	0.548437
R	6.76945	6.55	2.37213	2.3669	0.513489	0.547873
L	0.348186	6.6	2.39973	2.3943	0.514416	0.547223
R	1.76912	6.65	2.4339	2.42166	0.528804	0.546486
L	0.467733	6.7	2.4587	2.44898	0.528267	0.545663
R	3.04689	6.75	2.4705	2.47627	0.506981	0.544754
L	2.70145	6.8	2.51071	2.5035	0.522041	0.543759
R	3.18328	6.85	2.53395	2.53069	0.52179	0.542677
L	0.785581	6.9	2.55959	2.55783	0.519929	0.54151
R	10.0696	6.95	2.60916	2.5849	0.553827	0.540258
L	0.768742	7	2.62951	2.61191	0.545913	0.53892
R	3.25422	7.05	2.63575	2.63886	0.504695	0.537498
L	1.41901	7.1	2.65411	2.66574	0.496242	0.53599
R	5.77677	7.15	2.66555	2.69253	0.4768	0.534397
L	1.84011	7.2	2.67719	2.71925	0.464776	0.532721
R	2.10058	7.25	2.71365	2.74589	0.483967	0.53096
L	0.684159	7.3	2.73044	2.77244	0.476204	0.529115
R	1.32196	7.35	2.76577	2.79889	0.498001	0.527187
L	0.79898	7.4	2.79762	2.82525	0.504454	0.525176
R	0.409525	7.45	2.8325	2.85151	0.523144	0.523081
L	2.02646	7.5	2.86715	2.87767	0.530366	0.520904
R	2.48696	7.55	2.91935	2.90371	0.576732	0.518645
L	0.208393	7.6	2.9515	2.92964	0.579738	0.516304
R	1.71438	7.65	2.974	2.95546	0.572723	0.513881
L	1.6601	7.7	2.99477	2.98115	0.565996	0.511377
R	2.66765	7.75	3.02385	3.00672	0.569386	0.508793
L	0.210716	7.8	3.04811	3.03216	0.564605	0.506127
R	0.948562	7.85	3.0796	3.05747	0.573541	0.503383
L	1.8604	7.9	3.12169	3.08264	0.587473	0.500558
R	1.09586	7.95	3.15764	3.10767	0.595602	0.497655
L	0.591681	8	3.18474	3.13255	0.59385	0.494673
R	4.18804	8.05	3.22487	3.15728	0.605503	0.491613
L	0.55945	8.1	3.25851	3.18186	0.610301	0.488475
R	5.56113	8.15	3.26513	3.20629	0.566273	0.48526
L	3.44057	8.2	3.27239	3.23055	0.542377	0.481969
R	1.01434	8.25	3.29182	3.25465	0.532165	0.478601
L	1.62413	8.3	3.31763	3.27858	0.533097	0.475158
R	2.4727	8.35	3.31637	3.30234	0.484158	0.47164
L	1.22224	8.4	3.34399	3.32592	0.489281	0.468047
R	1.52921	8.45	3.36453	3.34932	0.485636	0.46438
L	1.9354	8.5	3.37957	3.37254	0.474183	0.46064
R	4.47651	8.55	3.41204	3.39557	0.485575	0.456828
L	2.69514	8.6	3.4415	3.41841	0.489542	0.452943
R	0.0883969	8.65	3.47018	3.44106	0.496823	0.448987
L	0.137896	8.7	3.49399	3.46351	0.495316	0.444959
R	3.48465	8.75	3.52628	3.48576	0.513338	0.440862
L	3.83756	8.8	3.53272	3.5078	0.490862	0.436695
R	0.230301	8.85	3.55603	3.52963	0.48732	0.432459
L	1.05977	8.9	3.56892	3.55126	0.474109	0.428154
R	0.428809	8.95	3.58571	3.57266	0.463396	0.423782
L	0.604451	9	3.59855	3.59385	0.45182	0.419343
R	2.72661	9.05	3.61591	3.61482	0.447081	0.414838
L	1.2989	9.1	3.62385	3.63556	0.430839	0.410268
R	2.17612	9.15	3.66377	3.65608	0.461667	0.405632
L	0.892053	9.2	3.6879	3.67636	0.463603	0.400933
R	1.68437	9.25	3.72134	3.6964	0.477538	0.39617
L	1.89729	9.3	3.72958	3.71621	0.461151	0.391345
R	4.47408	9.35	3.73805	3.73578	0.437072	0.386458
L	0.575839	9.4	3.76856	3.7551	0.447052	0.381509
R	1.50644	9.45	3.79477	3.77418	0.456804	0.376501
L	1.05739	9.5	3.81273	3.793	0.45222	0.371433
R	1.3931	9.55	3.82523	3.81158	0.432818	0.366307
L	2.23125	9.6	3.85829	3.82989	0.446637	0.361122
R	7.09386	9.65	3.89839	3.84795	0.484866	0.355881
L	2.58002	9.7	3.89718	3.86574	0.455845	0.350583
R	3.35746	9.75	3.90854	3.88327	0.434143	0.34523
L	1.20586	9.8	3.91741	3.90053	0.419034	0.339823
R	2.4894	9.85	3.94925	3.91752	0.441955	0.334362
L	6.05372	9.9	3.94814	3.93424	0.41762	0.328848
R	3.35676	9.95	3.99899	3.95068	0.46525	0.323282
L	0.10671	10	4.01682	3.96685	0.459078	0.317665
R	1.92988	10.05	4.02039	3.98273	0.425368	0.311998
L	0.502765	10.1	4.03313	3.99833	0.416209	0.306282
R	5.07475	10.15	4.04232	4.01365	0.394399	0.300517
L	2.3321	10.2	4.07124	4.02867	0.403674	0.294705
R	1.13159	10.25	4.0746	4.04341	0.376751	0.288846
L	1.88354	10.3	4.06724	4.05785	0.347488	0.282942
R	2.00067	10.35	4.10891	4.07199	0.385527	0.276993
L	1.03773	10.4	4.1208	4.08584	0.376644	0.271
R	0.988793	10.45	4.12797	4.09939	0.360823	0.264964
L	3.06049	10.5	4.12439	4.11264	0.335725	0.258887
R	2.33986	10.55	4.12389	4.12559	0.3077	0.252769
L	0.290508	10.6	4.14947	4.13823	0.319149	0.246611
R	1.74396	10.65	4.18635	4.15056	0.350809	0.240414
L	1.2395	10.7	4.18789	4.16258	0.332521	0.234179
R	3.58875	10.75	4.22715	4.17429	0.372455	0.227907
L	3.14465	10.8	4.28073	4.18568	0.411709	0.221599
R	1.27218	10.85	4.31137	4.19676	0.430489	0.215255
L	1.86866	10.9	4.30656	4.20752	0.400134	0.208879
R	0.8702	10.95	4.31217	4.21797	0.378044	0.202468
L	2.86519	11	4.35848	4.22809	0.410327	0.196027
R	3.61183	11.05	4.35698	4.23789	0.376401	0.189554
L	0.435265	11.1	4.36267	4.24737	0.361017	0.183051
R	3.88024	11.15	4.35524	4.25652	0.32644	0.176519
L	0.482971	11.2	4.37061	4.26535	0.325832	0.169959
R	2.92809	11.25	4.36469	4.27385	0.296006	0.163373
L	4.46702	11.3	4.3388	4.28201	0.248542	0.156761
R	3.17303	11.35	4.33344	4.28985	0.21641	0.150124
L	2.54472	11.4	4.31094	4.29736	0.178446	0.143463
R	1.14208	11.45	4.33599	4.30453	0.205493	0.136779
L	1.17544	11.5	4.33475	4.31137	0.192307	0.130074
R	1.57981	11.55	4.35763	4.31787	0.214533	0.123349
L	1.79075	11.6	4.35771	4.32404	0.20306	0.116604
R	0.453438	11.65	4.36276	4.32987	0.194017	0.10984
L	0.692113	11.7	4.37235	4.33536	0.194139	0.10306
R	2.66414	11.75	4.38019	4.34052	0.198484	0.0962627
L	4.41148	11.8	4.39763	4.34533	0.206269	0.0894504
R	1.68058	11.85	4.39572	4.3498	0.185756	0.0826241
L	0.269082	11.9	4.39901	4.35393	0.178887	0.0757847
R	3.12922	11.95	4.39038	4.35772	0.158072	0.0689333
L	0.551022	12	4.40768	4.36117	0.168769	0.062071
R	5.34641	12.05	4.41245	4.36427	0.161664	0.0551989
L	0.803244	12.1	4.40703	4.36703	0.146451	0.0483182
R	6.05432	12.15	4.36818	4.36945	0.0794566	0.0414297
L	0.489459	12.2	4.36736	4.37152	0.0740085	0.0345348
R	1.46767	12.25	4.38306	4.37325	0.0934589	0.0276344
L	2.40547	12.3	4.39661	4.37463	0.103241	0.0207296
R	4.36489	12.35	4.39052	4.37567	0.0752337	0.0138215
L	0.465064	12.4	4.40293	4.37636	0.0846036	0.00691132
R	3.19663	12.45	4.39428	4.3767	0.0721208	-1.76894e-16
L	1.58639	12.5	4.4015	4.3767	0.0759429	-0.00691132
